post_id,channel,post_date,post_url,content,detected_language,likes,links,views,forwards,forwarded_from,cryptocurrency_addresses,reply_to,id,screenname,name,channel_url,category,public,chat,source,platform_id,notes,country,platform
30538142,10277,05/06/22 09:18,https://t.me/s/RealLandDownUnder/30741,"Why did they introduce the concept of LGAs of concern and staying within a radius of your home? Was it to halt the spread of a vir-ass that has NEVER been proven to exist? 

OR

Was it normalisation of living, working and everything else you do being restricted to a geo fenced 15 Minute City? 

Why did they put that Woolies and medical practice in the bottom of your unit block.. why are there so many ""road calming"" measures making it less desirable to own a car? Why have they introduced ""Go Get"" cars? Why did they push working from home as so many private enterprise businesses collapsed?

You may applaud the Smart City or 15 Minute City (a walking or pushbike radius of 15 minutes) concept.. if you look at it with UN rose  coloured glasses.. the same UN that has proclaimed private home and vehicle ownership to be unsustainable? In line with the WEF.. ""by 2030 you will own nothing and be happy"".

Walkable and cycle friendly cities are a pleasant concept, if...

1. You are not monitored everywhere you move and with every transaction via facial recognition, digital currency, ""freedom passport"" and 5G. 

2. If you are free to leave that area without a Social Credit System monitoring you, notifying authorities and penalising you. 

If you look holistically at the broader picture, the framework, the narrative and the list of Tin Foil Hat conspiracies that are now fact, you should be able to recognise the incremental depravations of human rights.. freedom to move, associate, speak your mind, engage in employment, access to medical care, freedom to worship...  have ALL be seriously impacted in the name of CONvid.. the alleged disease that just keeps on giving, without even being proven to exist. 

Unconventional war is easily hidden from those who no longer engage in independent thought.",en,,[],240,4,9576,[],,10277,RealLandDownUnder,🇦🇺Land Down Under🇦🇺,https://t.me/s/RealLandDownUnder,,true,false,snowball_complete,1219452476,,,Telegram
30552086,9342,06/06/22 05:00,https://t.me/s/Aussie_News/14933,"Why did they introduce the concept of LGAs of concern and staying within a radius of your home? Was it to halt the spread of a vir-ass that has NEVER been proven to exist? 

OR

Was it normalisation of living, working and everything else you do being restricted to a geo fenced 15 Minute City? 

Why did they put that Woolies and medical practice in the bottom of your unit block.. why are there so many ""road calming"" measures making it less desirable to own a car? Why have they introduced ""Go Get"" cars? Why did they push working from home as so many private enterprise businesses collapsed?

You may applaud the Smart City or 15 Minute City (a walking or pushbike radius of 15 minutes) concept.. if you look at it with UN rose  coloured glasses.. the same UN that has proclaimed private home and vehicle ownership to be unsustainable? In line with the WEF.. ""by 2030 you will own nothing and be happy"".

Walkable and cycle friendly cities are a pleasant concept, if...

1. You are not monitored everywhere you move and with every transaction via facial recognition, digital currency, ""freedom passport"" and 5G. 

2. If you are free to leave that area without a Social Credit System monitoring you, notifying authorities and penalising you. 

If you look holistically at the broader picture, the framework, the narrative and the list of Tin Foil Hat conspiracies that are now fact, you should be able to recognise the incremental depravations of human rights.. freedom to move, associate, speak your mind, engage in employment, access to medical care, freedom to worship...  have ALL be seriously impacted in the name of CONvid.. the alleged disease that just keeps on giving, without even being proven to exist. 

Unconventional war is easily hidden from those who no longer engage in independent thought.",en,,[],894,18,9576,[],,9342,Aussie_News,Aussie_News,https://t.me/s/Aussie_News,,true,false,snowball_complete,1565832507,,,Telegram
34987670,16100,10/11/22 22:52,https://t.me/s/NoAgendaLara/1796,"WEF - Partnering with governments including the U.K… their ‘15 minute city’ is being rolled out. 

It all makes sense when you take a closer look. There ARE NO CARS!

Did you vote for this loss of independence & choice? Did you?

@NoAgendaLara",en,,[],1828,27,,[],,16100,NoAgendaLara,Lara Logan ,https://t.me/s/NoAgendaLara,,true,false,snowball_complete,1715719559,,,Telegram
30676797,11064,13/06/22 09:15,https://t.me/s/httpsMEL19/57329,"Absolutely.

15 minute cities are coming faster than we could ever imagine.",en,,[],1112,11,15568,[],,11064,theawakeningchat,TAKE OUR POWER BACK,https://t.me/s/httpsMEL19,,true,false,snowball_complete,1749678298,,,Telegram
35020186,12104,11/11/22 18:46,https://t.me/s/conservativejblQck1776/107938,"WEF - Partnering with governments including the U.K… their ‘15 minute city’ is being rolled out. 

It all makes sense when you take a closer look. There ARE NO CARS!

Did you vote for this loss of independence & choice? Did you?

@NoAgendaLara",en,,[],162,2,16100,[],,12104,conservativejblQck1776,ConservativeJblQck1776,https://t.me/s/conservativejblQck1776,,true,false,snowball_complete,1656992334,,,Telegram
35493586,5545,23/11/22 18:46,https://t.me/s/qthestorm/18061,"Klaus Schwab explains his 4th Industrial Revolution.

It will not only change how we communicate,produce,consume, it will change us!

We'll see developments like smart governments,smart 15 minute cities and everything will be integrated into ecosystem and driven by big data.",en,,[],2592,12,,[],,5545,qthestorm,Q The Storm,https://t.me/s/qthestorm,,true,false,snowball_complete,1497029994,,,Telegram
35345561,640,19/11/22 20:46,https://t.me/garethicke/4419,"Permanent Climate Lockdowns: The ""15 Minute Cities"" Are Coming https://youtu.be/jxV7cIuHZVA",en,,[u'https://youtu.be/jxV7cIuHZVA'],587,12,,[],,640,garethicke,Gareth Icke,https://t.me/garethicke,conspiracy,true,false,researcher,1510341333,Gareth Ickes Telegram channel,[u'GB'],Telegram
35356358,642,20/11/22 06:59,https://t.me/davidickeofficial/6061,"Permanent Climate Lockdowns: The “15 Minute Cities” Are Coming

https://davidicke.com/2022/11/20/permanent-climate-lockdowns-the-15-minute-cities-are-coming/",en,,[u'https://davidicke.com/2022/11/20/permanent-climate-lockdowns-the-15-minute-cities-are-coming/'],500,5,,[],,642,davidickeofficial,David Icke,https://t.me/davidickeofficial,conspiracy,true,false,researcher,1525304661,David Icke's Telegram channel.,[u'GB'],Telegram
35390633,16100,21/11/22 04:23,https://t.me/s/NoAgendaLara/1899,"Permanent Climate Lockdowns: The ""15 Minute Cities""

@NoAgendaLara",en,,[],2877,74,,[],,16100,NoAgendaLara,Lara Logan ,https://t.me/s/NoAgendaLara,,true,false,snowball_complete,1715719559,,,Telegram
35954628,10277,05/12/22 23:13,https://t.me/s/RealLandDownUnder/50615,"Under the new scheme residents will be allowed to leave their zone a maximum of 100 days per year, but in order to even gain this every resident will have to register their car details with the council who will then track their movements via smart cameras round the city.

The 15 Minute City is a [UN](https://unfccc.int/blog/the-15-minute-city) and [WEF plan](https://www.weforum.org/agenda/2022/03/15-minute-city-stickiness/) . You will be tracked and trapped in your suburb and happy about it.[—IClimat](https://iowaclimate.org/2022/12/03/oxford-2024-climate-lockdowns-start-you-will-be-tracked-and-trapped-in-your-suburb-and-happy-about-it/)e",en,,"[u'https://iowaclimate.org/2022/12/03/oxford-2024-climate-lockdowns-start-you-will-be-tracked-and-trapped-in-your-suburb-and-happy-about-it/', u'https://www.weforum.org/agenda/2022/03/15-minute-city-stickiness/', u'https://unfccc.int/blog/the-15-minute-city']",68,2,1581,[],,10277,RealLandDownUnder,🇦🇺Land Down Under🇦🇺,https://t.me/s/RealLandDownUnder,,true,false,snowball_complete,1219452476,,,Telegram
