total_count,climate_count,covid_count,ukraine_count,date1
19,,,,23/09/15 00:00
6,,,,24/09/15 00:00
6,,,,25/09/15 00:00
3,,,,27/09/15 00:00
4,,,,28/09/15 00:00
5,,,,29/09/15 00:00
5,,,,30/09/15 00:00
11,,,,01/10/15 00:00
3,,,,02/10/15 00:00
6,,,,03/10/15 00:00
6,,,,05/10/15 00:00
1,,,,06/10/15 00:00
8,,,,08/10/15 00:00
4,,,,09/10/15 00:00
5,,,,10/10/15 00:00
5,,,,11/10/15 00:00
2,,,,12/10/15 00:00
1,,,,13/10/15 00:00
3,,,,14/10/15 00:00
3,,,,15/10/15 00:00
6,,,,16/10/15 00:00
1,,,,17/10/15 00:00
3,,,,18/10/15 00:00
3,,,,20/10/15 00:00
7,,,,21/10/15 00:00
5,,,,22/10/15 00:00
3,,,,23/10/15 00:00
3,,,,24/10/15 00:00
4,,,,25/10/15 00:00
7,,,,27/10/15 00:00
5,,,,28/10/15 00:00
4,,,,29/10/15 00:00
4,,,,30/10/15 00:00
4,,,,01/11/15 00:00
5,,,,02/11/15 00:00
4,,,,03/11/15 00:00
1,,,,04/11/15 00:00
1,,,,05/11/15 00:00
1,,,,08/11/15 00:00
5,,,,11/11/15 00:00
3,,,,13/11/15 00:00
2,,,,14/11/15 00:00
2,,,,15/11/15 00:00
1,,,,17/11/15 00:00
4,,,,18/11/15 00:00
7,,,,19/11/15 00:00
3,,,,21/11/15 00:00
1,,,,23/11/15 00:00
1,,,,24/11/15 00:00
5,,,,25/11/15 00:00
1,,,,26/11/15 00:00
3,,,,28/11/15 00:00
2,,,,29/11/15 00:00
2,,,,30/11/15 00:00
4,,,,01/12/15 00:00
5,,,,02/12/15 00:00
3,,,,04/12/15 00:00
4,,,,05/12/15 00:00
5,,,,06/12/15 00:00
2,,,,07/12/15 00:00
1,,,,09/12/15 00:00
6,,,,10/12/15 00:00
4,,,,11/12/15 00:00
4,,,,15/12/15 00:00
2,,,,16/12/15 00:00
5,,,,17/12/15 00:00
2,,,,18/12/15 00:00
1,,,,19/12/15 00:00
2,,,,21/12/15 00:00
3,,,,22/12/15 00:00
2,,,,23/12/15 00:00
3,,,,24/12/15 00:00
4,,,,26/12/15 00:00
2,,,,27/12/15 00:00
1,,,,29/12/15 00:00
1,,,,31/12/15 00:00
1,,,,02/01/16 00:00
1,,,,03/01/16 00:00
34,,,,04/01/16 00:00
47,,,,05/01/16 00:00
41,,,,06/01/16 00:00
51,,,,07/01/16 00:00
51,,,,08/01/16 00:00
38,,,,09/01/16 00:00
26,,,,10/01/16 00:00
65,,,,11/01/16 00:00
55,,,,12/01/16 00:00
72,,,,13/01/16 00:00
69,,,,14/01/16 00:00
57,,,,15/01/16 00:00
29,,,,16/01/16 00:00
23,1,,,17/01/16 00:00
52,,,,18/01/16 00:00
80,,,,19/01/16 00:00
68,,,,20/01/16 00:00
71,,,,21/01/16 00:00
66,,,,22/01/16 00:00
30,,,,23/01/16 00:00
18,,,1,24/01/16 00:00
41,,,,25/01/16 00:00
66,,,,26/01/16 00:00
65,,,,27/01/16 00:00
50,,,,28/01/16 00:00
48,,,,29/01/16 00:00
33,,,,30/01/16 00:00
33,,,,31/01/16 00:00
50,,,,01/02/16 00:00
58,,,,02/02/16 00:00
53,,,,03/02/16 00:00
45,,,,04/02/16 00:00
51,,,,05/02/16 00:00
32,,,,06/02/16 00:00
22,,,,07/02/16 00:00
63,,,,08/02/16 00:00
79,1,,,09/02/16 00:00
72,,,,10/02/16 00:00
63,,,,11/02/16 00:00
64,,,,12/02/16 00:00
43,,,,13/02/16 00:00
31,,,,14/02/16 00:00
35,,,,15/02/16 00:00
51,,,,16/02/16 00:00
43,,,1,17/02/16 00:00
54,,,1,18/02/16 00:00
46,,,,19/02/16 00:00
37,,,,20/02/16 00:00
32,,,,21/02/16 00:00
51,,,,22/02/16 00:00
68,,,,23/02/16 00:00
73,,,,24/02/16 00:00
50,,,,25/02/16 00:00
55,,,,26/02/16 00:00
31,,,,27/02/16 00:00
26,,,,28/02/16 00:00
57,,,,29/02/16 00:00
45,,,,01/03/16 00:00
56,,,,02/03/16 00:00
58,,,1,03/03/16 00:00
72,,,,04/03/16 00:00
37,,,,05/03/16 00:00
38,,,,06/03/16 00:00
59,,,,07/03/16 00:00
53,,,,08/03/16 00:00
78,,,2,09/03/16 00:00
69,,,,10/03/16 00:00
48,,,,11/03/16 00:00
39,,,,12/03/16 00:00
27,,,,13/03/16 00:00
53,,,,14/03/16 00:00
23,,,,15/03/16 00:00
47,,,,16/03/16 00:00
42,,,,17/03/16 00:00
55,,,,18/03/16 00:00
32,,,,19/03/16 00:00
26,,,,20/03/16 00:00
55,,,,21/03/16 00:00
78,,,2,22/03/16 00:00
41,,,,23/03/16 00:00
73,,,,24/03/16 00:00
46,,,,25/03/16 00:00
26,,,,26/03/16 00:00
38,,,,27/03/16 00:00
19,,,,28/03/16 00:00
26,,,,29/03/16 00:00
46,,,,30/03/16 00:00
45,,,,31/03/16 00:00
54,,,,01/04/16 00:00
46,,,,02/04/16 00:00
50,,,1,03/04/16 00:00
52,,,,04/04/16 00:00
69,,,1,05/04/16 00:00
41,,,,06/04/16 00:00
60,,,,07/04/16 00:00
61,,,,08/04/16 00:00
45,,,,09/04/16 00:00
37,,,,10/04/16 00:00
50,,,,11/04/16 00:00
64,,,,12/04/16 00:00
72,,,,13/04/16 00:00
69,,,,14/04/16 00:00
83,,1,,15/04/16 00:00
44,,,,16/04/16 00:00
58,,,,17/04/16 00:00
27,,,,18/04/16 00:00
59,,,,19/04/16 00:00
