"","term1","term2","cooc","fifteen_minutes","climate_lockdown","ulez","insect"
"1","Minute","Stadt",209,208,14,28,1
"2","allergisch","Reaktion",116,NA,NA,NA,116
"3","allgemein","Bevölkerung",111,NA,NA,NA,111
"4","neu","Weltordnung",77,2,14,49,12
"5","neuartig","Lebensmittel",71,NA,NA,NA,71
"6","ganz","Welt",64,8,11,21,28
"7","trocken","gefüllt",61,NA,NA,NA,61
"8","folgend","Produkt",60,NA,NA,NA,60
"9","künstlich","Intelligenz",55,7,5,50,2
"10","neu","Jahr",52,2,NA,NA,50
"11","Trockene","Vormischung",50,NA,NA,NA,50
"12","ungefüllt","Teigwarenerzeugnis",49,NA,NA,NA,49
"13","allgemein","Erzeugnis",48,NA,NA,NA,48
"14","ander","Teilfertigprodukt",47,NA,NA,NA,47
"15","offen","Tür",45,NA,1,NA,44
"16","anaphylaktisch","Reaktion",44,NA,NA,NA,44
"17","spezifisch","Kennzeichnungsvorschrift",44,NA,NA,NA,44
"18","beigemengen","Hausgrille",43,NA,NA,NA,43
"19","elektrisch","Licht",42,NA,NA,NA,42
"20","total","Kontrolle",41,15,4,22,2
"21","behandelt","Wasser",41,NA,NA,NA,41
"22","kristallklar","Wasser",41,NA,NA,NA,41
"23","neu","allergisch",41,NA,NA,NA,41
"24","möglich","anaphylaktisch",41,NA,NA,NA,41
"25","unzensiert","Kanal",40,4,NA,2,34
"26","reich","Vater",40,NA,NA,NA,40
"27","bezüglich","Allergie",40,NA,NA,NA,40
"28","verarbeitet","Kartoffelerzeugnis",40,NA,NA,NA,40
"29","wer","Allergie",39,NA,NA,NA,39
"30","beigemischt","Hausgrille",39,NA,NA,NA,39
"31","veröffentlichen","Erkenntnis",39,NA,NA,NA,39
"32","intelligent","Stadt",38,9,3,33,4
"33","letzt","Jahr",37,7,15,4,13
"34","Allergisch","Reaktion",37,NA,NA,NA,37
"35","zerquetscht","Scharlachschildläuse",36,NA,NA,NA,36
"36","entfettet","Pulver",35,NA,NA,NA,35
"37","möglich","Allergisch",35,NA,NA,NA,35
"38","kostenfrei","Infos",32,8,9,6,9
"39","finanziell","Interesse",32,NA,NA,NA,32
"40","künstlich","Fleisch",31,NA,NA,1,30
"41","klein","Bächlein",31,NA,NA,NA,31
"42","global","Erwärmung",30,11,11,3,12
"43","rot","Farbstoff",28,NA,NA,NA,28
"44","schicken","Foto",27,NA,NA,NA,27
"45","https://t.me/antiilluminat","Abonnier",26,7,7,4,8
"46","nachhaltig","Entwicklung",25,3,5,19,1
"47","öffentlich","Verkehrsmittel",25,13,6,7,2
"48","vollständig","Artikel",24,5,7,5,7
"49","Liste","gefährlich",24,NA,NA,NA,24
"50","gefährlich","Zusatzstoff",24,NA,NA,NA,24
"51","Fleischzubereitung","mog",23,NA,NA,NA,23
"52","digital","Transformation",22,NA,NA,21,1
"53","Verhaltensbezogen","Datum",22,NA,NA,22,NA
"54","nah","Schritt",21,11,13,4,NA
"55","groß","Teil",21,2,NA,13,7
"56","voll","Gange",21,3,9,2,9
"57","entfettetem","Pulver",21,NA,NA,NA,21
"58","unsichtbar","Krieg",20,12,3,4,2
"59","gut","recherchiert",20,5,4,NA,11
"60","⭐️","⭐️",20,NA,4,16,NA
"61","nachhaltig","Ernährung",20,NA,NA,NA,20
"62","Mensch","🟥",19,12,3,3,2
"63","digital","Währung",19,12,2,12,NA
"64","deutsch","Stadt",19,13,3,8,NA
"65","menschlich","Gesundheit",19,NA,4,NA,15
"66","gesellschaftlich","Feedbacksystem",19,NA,NA,19,NA
"67","Labor","gezüchtet",19,NA,NA,7,12
"68","Kommune","nachhaltig",19,NA,NA,19,NA
"69","ander","Produkt",19,NA,NA,NA,19
"70","menschlich","Verzehr",19,NA,NA,NA,19
"71","spannend","Beitrag",18,6,NA,NA,13
"72","weit","gut",18,5,4,NA,9
"73","tagesaktuell","Informatione",18,5,4,NA,9
"74","letzt","Möglichkeit",18,5,4,NA,9
"75","unzensiert","Newsletter",18,5,4,NA,9
"76","Milliarde","Mensch",18,NA,3,2,13
"77","nah","Zukunft",18,NA,14,1,3
"78","unabhängig","Abgeordnete",18,NA,NA,NA,18
"79","trocken","Vormischung",18,NA,NA,NA,18
