"","topic1","topic2","topic3","topic4"
"1","insekten","dass","klima","smart"
"2","essen","mehr","lockdown","minuten"
"3","eu","menschen","corona","stadt"
"4","dass","immer","lockdowns","städte"
"5","lebensmittel","unsere","reset","city"
"6","fleisch","leben","great","cities"
"7","menschen","welt","artikel","wef"
"8","müssen","wurde","wef","menschen"
"9","grillen","schon","mehr","zukunft"
"10","produkte","gibt","covid","agenda"
"11","ernährung","viele","deutschland","bürger"
"12","käfer","kinder","schon","dass"
"13","quelle","lassen","sei","sollen"
"14","bevölkerung","gut","kommt","leben"
"15","neuen","kommt","klimawandel","mehr"
"16","bitte","geht","bald","schon"
"17","beim","wurden","welt","quelle"
"18","wer","macht","agenda","wurde"
"19","neue","essen","schwab","bereits"
"20","seit","zeit","klaus","teil"
