"","V1","V2","V3","V4"
"1","insetti","solo","città","cosa"
"2","mangiare","essere","minuti","varchi"
"3","cibo","anni","lockdown","smart"
"4","carne","parte","climatico","no"
"5","farina","ora","auto","lavoro"
"6","grilli","mondo","climatici","solo"
"7","base","quando","canale","ogni"
"8","via","persone","controllo","c'è"
"9","prodotti","poi","cittadini","può"
"10","alimentare","prima","wef","dietro"
"11","animali","fatto","libertà","stato"
"12","grillo","stati","unisciti","green"
"13","vermi","stato","futuro","sempre"
"14","canale","dopo","digitale","mai"
"15","possono","vita","roma","video"
"16","ue","sistema","piano","essere"
"17","dieta","senza","vogliono","giorno"
"18","vogliono","fare","persone","fino"
"19","consumo","grande","covid","così"
"20","essere","sempre","seguici","nulla"
