"","link_url","is_climate_post","n"
"1","https://www.amazon.de/dp/B09S27PLLB",0,810
"2","https://www.amazon.de/dp/B09GJPG6GD",0,727
"3","https://www.amazon.de/dp/B09W171H3V",0,675
"4","https://www.amazon.de/dp/B0BD2XPKZ6",0,612
"5","https://www.amazon.de/dp/B0BGNPC8VS",0,549
"6","https://www.amazon.de/dp/B0892B9R8N",0,435
"7","https://www.amazon.de/dp/B09427FS9R",0,412
"8","https://www.amazon.de/dp/B09KN64WM9",0,408
"9","https://www.amazon.de/dp/B08TZBTPTN",0,390
"10","https://www.amazon.de/dp/B0B2V23VX8",0,302
"11","https://www.amazon.de/dp/B0892DCK6H",0,232
"12","https://www.amazon.de/gp/product/B094YYMDDY/ref=dm_ws_sp_ps_dp",0,228
"13","https://music.amazon.de/albums/B094YYMDDY?marketplaceId=A1PA6795UKMFR9&musicTerritory=DE",0,223
"14","https://www.amazon.com/DailyClout-Documents-Analysis-Volunteers-Reports-ebook/dp/B0BSK6LV5D",0,132
"15","https://www.amazon.de/gp/product/B084MJSH54",0,131
"16","https://www.amazon.de/gp/product/B08BXWSHW8",0,131
"17","https://www.amazon.de/dp/B09FXMYDF8",0,104
"18","https://www.amazon.com/hz/audible/mfpdp/B088J4B51J?ref=tmm_aud_title",0,77
"19","https://www.amazon.de/dp/B0B7QL9S22",0,74
"20","https://www.amazon.de/exec/obidos/ASIN/172869308X/wwwoliverjani-21",0,64
"21","https://www.amazon.de/dp/B0C2SRHBK9",0,59
"22","https://www.amazon.de/dp/B08PZHWSDR",0,53
"23","https://aws.amazon.com/service-terms/",0,52
"24","https://www.amazon.de/s?i=stripbooks&rh=p_27%3AMERKSAM&s=relevancerank&text=MERKSAM&ref=dp_byline_sr_book_1",0,49
"25","https://www.amazon.com/Real-Anthony-Fauci-Democracy-Childrens/dp/1510766804",0,48
"26","ir-de.amazon-adsystem.com/e/ir?t=pt0e-21&l=am2&o=3&a=B0714BHJDM",0,44
"27","https://www.amazon.co.uk/EDUCATION-8-12-year-olds-PARENTS/dp/1549718371",0,43
"28","https://www.amazon.de/ICH-REDE-Ausstieg-satanisch-ritueller/dp/B09MJ1LNZL/ref=bewussttv-21",0,41
"29","https://www.amazon.de/s?i=stripbooks&rh=p_27%3AVEIBZ&s=relevancerank&text=VEIBZ&ref=dp_byline_sr_book_1",0,41
"30","https://www.amazon.de/shop/madingermany/list/1C3WXGG8OWSQ8",0,41
"31","https://www.amazon.de/gp/product/B071JXNK6Q/ref=as_li_tl?ie=UTF8&camp=1638&creative=6742&creativeASIN=B071JXNK6Q&linkCode=as2&tag=pt0e-21&linkId=c4efb710c97df3e80024bc6484ff96d8",0,40
"32","https://www.amazon.it/dp/B08MW62DMY",0,40
"33","amazon.com",0,39
"34","https://www.amazon.de/dp/B0B55L2JCQ",0,39
"35","https://www.amazon.de/gp/product/B0714BHJDM/ref=as_li_tl?ie=UTF8&camp=1638&creative=6742&creativeASIN=B0714BHJDM&linkCode=as2&tag=pt0e-21&linkId=f6da9a6938fcc659840991fdffc4519a",0,39
"36","https://www.amazon.de/Botschaft-f\xfcr-Deutsche-Claudius-Fabig/dp/3981682815/ref=sr_1_1",0,38
"37","https://www.amazon.de/Die-Botschaft-Wassers-Sensationelle-Wasserkristallen/dp/3867281238/ref=asc_df_3867281238/?tag=googshopde-21&linkCode=df0&hvadid=310244201257&hvpos=&hvnetw=g&hvrand=9904892288924158971&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9044410&hvtargid=pla-562912032180&psc=1&th=1&psc=1&tag=&ref=&adgrpid=60945662319&hvpone=&hvptwo=&hvadid=310244201257&hvpos=&hvnetw=g&hvrand=9904892288924158971&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9044410&hvtargid=pla-562912032180",0,38
"38","https://www.amazon.de/Weg-zum-wahren-Adepten/dp/3921338301",0,38
"39","ir-de.amazon-adsystem.com/e/ir?t=pt0e-21&l=am2&o=3&a=B071JXNK6Q",0,38
"40","https://www.amazon.com/UNDERSTANDING-OMICRON-VARIANT-Questions-Informed/dp/B09MYL7R13",0,37
"41","https://www.amazon.com/exec/obidos/ASIN/B0882YN93R/wwwoliverjani-21",0,37
"42","https://www.amazon.de/Rote-L%C3%BCgen-gr%C3%BCnem-Gewand-kommunistische/dp/3946168051",0,37
"43","https://www.amazon.de/dp/B0C4X6RBTC",0,35
"44","https://music.amazon.com/podcasts/f23ebcc6-a00b-47e7-be1f-c136a0b019fe/Neighborhood-News-Studio",0,34
"45","https://www.amazon.co.uk/hz/wishlist/ls/5UBW3WWS5E79?ref_=wl_share",0,34
"46","https://www.amazon.com/gp/aw/d/B091FZ221X",0,31
"47","https://www.amazon.de/Furchtbare-Juristen-unbew%C3%A4ltigte-Vergangenheit-deutschen/dp/3893202692/ref=sr_1_1?crid=1Y5NVXV2WHO8L&keywords=furchtbare+juristen+ingo+m%C3%BCller&qid=1644574512&sprefix=furchtbar%2Caps%2C110&sr=8-1",0,30
"48","https://www.amazon.de/dp/B09P6M267D",0,30
"49","https://www.amazon.de/gp/product/1999021533/ref=as_li_tl?ie=UTF8&camp=1638&creative=6742&creativeASIN=1999021533&linkCode=as2&tag=innovativ6000-21&linkId=9f89b3287edf0eaf07ecc82d72004e80",0,30
"50","https://www.amazon.de/gp/product/394195685X/ref=as_li_tl?ie=UTF8&camp=1638&creative=6742&creativeASIN=394195685X&linkCode=as2&tag=pt0e-21&linkId=d37d0471b4e96b6328201ef9739cc75c",0,30
"51","https://www.amazon.com/Great-Reset-War-World/dp/1510774041",0,29
"52","https://www.amazon.com/Jungle-Master-JM-031B-Serrated-Cord-Wrapped/dp/B00DS0E24Y/ref=mp_s_a_1_4?dchild=1&keywords=machetes&qid=1628463760&sr=8-4",0,29
"53","https://www.amazon.com/LifeStraw-Personal-Camping-Emergency-Preparedness/dp/B07C56LR6N/ref=mp_s_a_1_3?dchild=1&keywords=life+straw&qid=1628470952&sr=8-3",0,29
"54","https://www.amazon.com/SABRE-Pepper-Keychain-Release-Access/dp/B07ZJSQL6C/ref=mp_s_a_1_3?dchild=1&keywords=pepper+spray&qid=1628463538&sprefix=pepper+&sr=8-3",0,29
"55","https://www.amazon.com/s?k=cb+radio+handheld&ref=nb_sb_noss",0,29
"56","https://www.amazon.com/s?k=flint+fire+starter&sprefix=flint+&ref=nb_sb_ss_ts-doa-p_2_6",0,29
"57","https://www.amazon.com/s?k=ham+radio+handheld&sprefix=HAM+radio&ref=nb_sb_ss_ts-doa-p_2_9",0,29
"58","https://www.amazon.com/s?k=long+range+walkie+talkies&sprefix=long+range+&ref=nb_sb_ss_ts-doa-p_1_11",0,29
"59","https://www.amazon.com/s?k=portable+power+station&sprefix=portable+power&ref=nb_sb_ss_ts-doa-p_1_14",0,29
