"","link_url","is_climate_post","n"
"1","https://www.patreon.com/theowner",0,852
"2","https://www.patreon.com/klokkenluiders",0,465
"3","https://www.patreon.com/naomiseibtmy",0,329
"4","https://www.patreon.com/awakenedspecies",0,261
"5","https://www.patreon.com/AGirlintheUniverse",0,206
"6","https://www.patreon.com/electricbeings",0,111
"7","https://www.patreon.com/outoftheboxtv",0,93
"8","https://www.patreon.com/neighborhoodn",0,89
"9","patreon.com/NessunaCorrelazione",0,84
"10","https://www.patreon.com/eburd",0,68
"11","https://www.patreon.com/Der_Hasskanal",0,57
"12","https://www.patreon.com/JohnOLoughlin",0,57
"13","https://www.patreon.com/neighborhoodnewshour",0,49
"14","https://patreon.com/PLnewstoday",0,48
"15","https://patreon.com/endilluminati",0,43
"16","patreon.com/erfundenegeschichte",0,37
"17","https://www.patreon.com/awakenspecies",0,36
"18","https://www.patreon.com/manuldm",0,36
"19","Https://patreon.com/klokkenluiders",0,34
"20","https://www.patreon.com/thefive8take",0,31
"21","http://www.patreon.com/LIONMedia",0,30
"22","https://www.patreon.com/AshaLogos",0,30
"23","https://www.patreon.com/alensimeonov",0,30
"24","http://patreon.com/erfundenegeschichte",0,27
"25","https://www.patreon.com/WeThePeople_News",0,24
"26","https://www.patreon.com/outoftheboxtv?fan_landing=true",0,23
"27","https://www.patreon.com/posts/43970226",0,23
"28","https://www.patreon.com/posts/43676020",0,22
"29","https://www.patreon.com/posts/wahlautomaten-43859980",0,22
"30","https://www.patreon.com/quasir",0,22
"31","https://www.patreon.com/pryme",0,21
"32","https://www.patreon.com/ameliepaul",0,20
"33","https://www.patreon.com/gunnarkaiser",0,20
"34","https://www.patreon.com/housatonic",0,18
"35","patreon.com/fairtalk",0,18
"36","https://www.patreon.com/m8y1",0,17
"37","https://www.patreon.com/user?u=779221",0,17
"38","http://www.patreon.com/drjaneruby",0,16
"39","https://www.patreon.com/XCHNG",0,16
"40","https://www.patreon.com/connectiv",0,15
"41","https://www.patreon.com/ItsDangerDan",0,14
"42","https://www.patreon.com/ildonaldotrumpo",0,14
"43","https://www.patreon.com/FaktenFriedenFreiheit",0,13
"44","https://www.patreon.com/STFNews",0,13
"45","https://www.patreon.com/ThomasUlmer",0,13
"46","https://www.patreon.com/darktolightshow",0,13
"47","https://www.patreon.com/lemondemoderne",0,13
"48","https://www.patreon.com/BunIntended",0,12
"49","https://patreon.com/erfundenegeschichte",0,11
"50","https://www.patreon.com/fairtalk",0,11
"51","https://www.patreon.com/posts/2-enthullungen-e-43009454",0,11
"52","https://www.patreon.com/posts/64887369",0,11
