"","channel_url","is_climate_post","n"
"1","https://t.me/Dr_Heinrich_Fiechtner",0,4307
"2","https://t.me/s/djoubie",0,2424
"3","https://t.me/s/evarosen",0,1821
"4","https://t.me/s/Anwaelte_fuer_Aufklaerung",0,1240
"5","https://t.me/s/neverforgetnikiblog",0,1161
"6","https://t.me/s/CoronaTransition",0,1155
"7","https://t.me/s/SC360Media",0,1044
"8","https://t.me/s/waqeupworld",0,895
"9","https://t.me/Doc_Heinrich_Fiechtner",0,880
"10","https://t.me/s/join_PLATT_FORM_now",0,874
"11","https://t.me/s/LIONMediaTelegram",0,847
"12","https://t.me/s/greatawakening_wwg1wga",0,701
"13","https://t.me/TraugottIckerothLiveticker",0,687
"14","https://t.me/s/patriot_bayern",0,686
"15","https://t.me/deepstatehunter",0,650
"16","https://t.me/qpaper_berlin",0,626
"17","https://t.me/PatriziaRamettaChat",0,596
"18","https://t.me/s/sevenmaexqanons17",0,592
"19","https://t.me/s/oliverjanich",0,574
"20","https://t.me/wahrheit2020",0,571
"21","https://t.me/Marieallin",0,537
"22","https://t.me/dentrolanotizia",0,519
"23","https://t.me/tagesereignisseoffenbarung",0,514
"24","https://t.me/s/zainz1969",0,508
"25","https://t.me/s/the_fall_of_the_Cabal",0,487
"26","https://t.me/s/WirSinDasVolk",0,486
"27","https://t.me/selbstdenken",0,486
"28","https://t.me/Sammlung_Bernd_Gaa",0,474
"29","https://t.me/s/q_anonymous_kanal_deutschland",0,474
"30","https://t.me/qanonthetruth1",0,471
"31","https://t.me/s/Wombel_Kunst",0,463
"32","https://t.me/dieblauehand",0,461
"33","https://t.me/s/MICHAELWENDLEROFFICIAL",0,458
"34","https://t.me/bewusstseinswandel2020",0,456
"35","https://t.me/qnet17cc",0,446
"36","https://t.me/s/drpfosten",0,431
"37","https://t.me/Haintz",0,429
"38","https://t.me/deqodeursdu34",0,408
"39","https://t.me/CQLQGNE",0,399
"40","https://t.me/otontv",0,398
"41","https://t.me/s/fruehwaldinformiert",0,392
"42","https://t.me/standpunkt",0,391
"43","https://t.me/s/buergerinformative",0,386
"44","https://t.me/real_jeannedarc",0,375
"45","https://t.me/Widerstand100",0,358
"46","https://t.me/s/freiepressesauerland",0,356
"47","https://t.me/s/AwakeningHere",0,352
"48","https://t.me/s/Wissensmanufaktur1",0,352
"49","https://t.me/s/LKNews2",0,351
"50","https://t.me/s/officialcharliewardshow",0,334
"51","https://t.me/s/Corona_Fakten",0,332
"52","https://t.me/s/sportstreamingVPN",0,332
"53","https://t.me/ah2020_org_canal",0,322
"54","https://t.me/s/coronadatencheck",0,318
"55","https://t.me/VolksentscheidMF",0,317
"56","https://t.me/s/WE_R_FREE",0,316
"57","https://t.me/LIONMediaTV",0,311
"58","https://t.me/s/widerstandFBade",0,311
"59","https://t.me/s/alexander_ehrlich",0,307
"60","https://t.me/huhubaer",0,294
"61","https://t.me/s/mindofheart",0,286
"62","https://t.me/alles_kommt_ans_licht",0,284
"63","https://t.me/s/AllesAusserMainstream",0,284
"64","https://t.me/s/liebeisstleben",0,280
"65","https://t.me/s/Ernergieistalles",0,279
"66","https://t.me/s/FGNews07",0,273
"67","https://t.me/s/DieAndereWahrheit",0,269
"68","https://t.me/s/macklemachtgutelaune",0,265
"69","https://t.me/OutoftheBoxTV_kanal2",0,261
"70","https://t.me/s/ideeazione",0,252
"71","https://t.me/s/exopolitics_deutsch",0,250
"72","https://t.me/s/Austria_Sword_of_truth",0,246
"73","https://t.me/s/samueleckert",0,243
"74","https://t.me/thegreatawakeningfight2q2q",0,241
"75","https://t.me/s/TheTruthSeekersChannel",0,233
"76","https://t.me/s/markus_lowien",0,229
"77","https://t.me/verruecktesjahr202q",0,222
"78","https://t.me/s/QanonAustria",0,211
"79","https://t.me/s/DieStundeDerWahrheit",0,208
"80","https://t.me/s/Kampf_fuer_unsere_Zukunft",0,204
"81","https://t.me/globalchange2022",0,203
"82","https://t.me/Tat_Sachen",0,202
"83","https://t.me/s/antiilluminaten",0,202
"84","https://t.me/awakeningproject",0,195
"85","https://t.me/s/Heinrichs_Gedanken",0,194
"86","https://t.me/s/EvaHermanOffiziell",0,192
"87","https://t.me/s/freienordrheinwestfalen",0,191
"88","https://t.me/s/guerrieriperlaliberta",0,190
"89","https://t.me/s/wirmachenauf_de",0,187
"90","https://t.me/BlutgruppeQ2Q2Q",0,186
"91","https://t.me/s/StayAwakeTermine",0,185
"92","https://t.me/derwechsel",0,184
"93","https://t.me/kabalenfighter2",0,179
"94","https://t.me/s/WaldgangAlbdruck",0,179
"95","https://t.me/s/WendezeitHannover",0,179
"96","https://t.me/s/StuttgartGrundgesetzdemos",0,177
"97","https://t.me/QDumbs",0,174
"98","https://t.me/world_puzzle",0,164
"99","https://t.me/s/bettinagorzolla",0,163
"100","https://t.me/s/bitteltv",0,161
"101","https://t.me/s/trustandlife",0,160
"102","https://t.me/s/kaiorak",0,157
"103","https://t.me/s/Kulturstudio",0,156
"104","https://t.me/internationalcoronanews",0,152
"105","https://t.me/infolibre_fil_d_actus",0,148
"106","https://t.me/s/love17andyahweh",0,146
"107","https://t.me/videodump1",0,145
"108","https://t.me/qanonafrique",0,144
"109","https://t.me/s/unn_neu",0,143
"110","https://t.me/s/Into_the_Light_News",0,141
"111","https://t.me/s/RA_Ludwig",0,139
"112","https://t.me/s/ivetasemetkova",0,135
"113","https://t.me/s/FreieMedienTV",0,134
