"","type","month","detected_language","n","percentage"
"1","amazon",2017-03-01,"it",1,50
"2","amazon",2018-01-01,"",1,33.3333333333333
"3","amazon",2018-10-01,"",1,4.76190476190476
"4","amazon",2018-10-01,"de",14,66.6666666666667
"5","amazon",2018-10-01,"en",2,9.52380952380952
"6","amazon",2018-11-01,"",2,18.1818181818182
"7","amazon",2018-11-01,"de",6,54.5454545454545
"8","amazon",2018-11-01,"sv",1,9.09090909090909
"9","amazon",2018-12-01,"",2,11.7647058823529
"10","amazon",2018-12-01,"de",11,64.7058823529412
"11","amazon",2018-12-01,"en",2,11.7647058823529
"12","amazon",2018-12-01,"it",2,11.7647058823529
"13","amazon",2019-01-01,"",1,3.57142857142857
"14","amazon",2019-01-01,"de",17,60.7142857142857
"15","amazon",2019-01-01,"en",3,10.7142857142857
"16","amazon",2019-01-01,"tr",1,3.57142857142857
"17","amazon",2019-02-01,"de",17,48.5714285714286
"18","amazon",2019-02-01,"en",1,2.85714285714286
"19","amazon",2019-02-01,"it",1,2.85714285714286
"20","amazon",2019-03-01,"",4,9.52380952380952
"21","amazon",2019-03-01,"de",21,50
"22","amazon",2019-04-01,"",2,3.7037037037037
"23","amazon",2019-04-01,"de",20,37.037037037037
"24","amazon",2019-05-01,"",2,3.44827586206897
"25","amazon",2019-05-01,"de",20,34.4827586206897
"26","amazon",2019-05-01,"it",4,6.89655172413793
"27","amazon",2019-06-01,"de",12,20
"28","amazon",2019-06-01,"it",9,15
"29","amazon",2019-07-01,"de",4,8.16326530612245
"30","amazon",2019-07-01,"it",1,2.04081632653061
"31","amazon",2019-08-01,"de",9,16.9811320754717
"32","amazon",2019-08-01,"en",1,1.88679245283019
"33","amazon",2019-08-01,"it",1,1.88679245283019
"34","amazon",2019-09-01,"de",14,20.8955223880597
"35","amazon",2019-09-01,"en",1,1.49253731343284
"36","amazon",2019-09-01,"it",1,1.49253731343284
"37","amazon",2019-10-01,"de",13,33.3333333333333
"38","amazon",2019-10-01,"en",3,7.69230769230769
"39","amazon",2019-10-01,"it",1,2.56410256410256
"40","amazon",2019-11-01,"de",10,8.92857142857143
"41","amazon",2019-11-01,"en",12,10.7142857142857
"42","amazon",2019-12-01,"de",8,9.75609756097561
"43","amazon",2019-12-01,"en",5,6.09756097560976
"44","amazon",2020-01-01,"de",114,59.6858638743455
"45","amazon",2020-01-01,"en",10,5.23560209424084
"46","amazon",2020-01-01,"it",1,0.523560209424084
"47","amazon",2020-01-01,"vi",1,0.523560209424084
"48","amazon",2020-02-01,"",5,1.93050193050193
"49","amazon",2020-02-01,"de",177,68.3397683397683
"50","amazon",2020-02-01,"en",5,1.93050193050193
"51","amazon",2020-03-01,"",1,0.490196078431373
"52","amazon",2020-03-01,"de",114,55.8823529411765
"53","amazon",2020-03-01,"en",1,0.490196078431373
"54","amazon",2020-03-01,"it",4,1.96078431372549
"55","amazon",2020-04-01,"",4,2.72108843537415
"56","amazon",2020-04-01,"de",49,33.3333333333333
"57","amazon",2020-04-01,"en",10,6.80272108843537
"58","amazon",2020-04-01,"it",1,0.680272108843537
"59","amazon",2020-05-01,"",2,0.970873786407767
"60","amazon",2020-05-01,"cy",1,0.485436893203883
"61","amazon",2020-05-01,"de",80,38.8349514563107
"62","amazon",2020-05-01,"en",6,2.9126213592233
"63","amazon",2020-05-01,"nl",1,0.485436893203883
"64","amazon",2020-06-01,"",7,1.23893805309735
"65","amazon",2020-06-01,"de",66,11.6814159292035
"66","amazon",2020-06-01,"en",4,0.707964601769911
