"","date","detected_language","topic","n"
"1",2016-06-29,"it","ulez",1
"2",2016-08-09,"it","insect",1
"3",2017-04-12,"it","ulez",1
"4",2017-05-15,"it","ulez",1
"5",2017-07-14,"it","ulez",1
"6",2017-09-19,"it","insect",2
"7",2017-11-01,"it","ulez",1
"8",2017-12-20,"it","ulez",1
"9",2017-12-29,"it","ulez",2
"10",2017-12-30,"it","ulez",1
"11",2018-01-17,"it","insect",1
"12",2018-01-19,"it","insect",1
"13",2018-02-24,"it","insect",1
"14",2018-04-14,"it","ulez",1
"15",2018-04-28,"it","ulez",1
"16",2018-05-11,"it","ulez",1
"17",2018-08-22,"it","ulez",1
"18",2018-09-03,"it","ulez",1
"19",2018-09-20,"it","insect",1
"20",2018-09-28,"it","insect",1
"21",2018-10-28,"it","ulez",1
"22",2018-10-30,"it","ulez",1
"23",2018-11-17,"it","insect",1
"24",2018-11-18,"it","insect",1
"25",2018-12-19,"it","ulez",1
"26",2019-01-01,"it","insect",1
"27",2019-01-12,"it","ulez",1
"28",2019-02-10,"it","insect",1
"29",2019-02-25,"it","ulez",1
"30",2019-02-27,"it","ulez",1
"31",2019-03-07,"de","ulez",1
"32",2019-03-11,"en","ulez",1
"33",2019-03-18,"it","ulez",1
"34",2019-03-27,"de","ulez",3
"35",2019-04-09,"de","ulez",1
"36",2019-04-12,"it","insect",4
"37",2019-05-12,"it","ulez",1
"38",2019-05-14,"de","ulez",1
"39",2019-05-21,"it","ulez",1
"40",2019-05-24,"it","ulez",1
"41",2019-06-05,"de","ulez",1
"42",2019-06-06,"de","ulez",1
"43",2019-06-18,"en","ulez",1
"44",2019-06-24,"it","insect",1
"45",2019-06-25,"it","ulez",2
"46",2019-06-26,"de","ulez",1
"47",2019-06-27,"de","ulez",1
"48",2019-07-14,"it","insect",1
"49",2019-07-15,"it","insect",1
"50",2019-08-09,"de","ulez",2
"51",2019-08-09,"it","ulez",1
"52",2019-08-18,"it","ulez",1
"53",2019-08-24,"en","insect",1
"54",2019-08-28,"de","insect",1
"55",2019-09-06,"it","insect",2
"56",2019-09-08,"de","insect",1
"57",2019-09-09,"de","insect",1
"58",2019-09-09,"it","ulez",1
"59",2019-09-12,"de","insect",2
"60",2019-09-23,"it","insect",2
"61",2019-09-25,"it","ulez",1
"62",2019-09-26,"de","insect",2
"63",2019-10-07,"it","insect",1
"64",2019-10-29,"en","insect",2
"65",2019-11-03,"it","ulez",1
"66",2019-11-08,"en","ulez",1
"67",2019-11-10,"de","ulez",1
"68",2019-11-11,"de","ulez",1
"69",2019-11-25,"de","ulez",2
"70",2019-11-25,"it","ulez",1
"71",2019-11-28,"de","insect",1
"72",2019-11-29,"it","insect",1
"73",2019-12-08,"de","ulez",1
"74",2019-12-17,"it","ulez",1
"75",2019-12-23,"it","ulez",1
"76",2019-12-25,"it","ulez",1
"77",2020-01-09,"de","ulez",1
"78",2020-01-11,"it","insect",1
"79",2020-01-20,"it","insect",1
"80",2020-01-21,"en","ulez",1
"81",2020-01-24,"en","ulez",1
"82",2020-01-26,"de","ulez",1
"83",2020-01-27,"de","ulez",1
"84",2020-01-28,"de","insect",1
"85",2020-01-31,"it","ulez",1
"86",2020-02-05,"de","insect",1
"87",2020-02-06,"it","insect",1
"88",2020-02-14,"de","ulez",1
"89",2020-02-22,"it","ulez",1
"90",2020-02-24,"de","insect",1
"91",2020-02-25,"it","ulez",1
"92",2020-02-26,"de","ulez",1
"93",2020-02-27,"de","insect",1
"94",2020-03-08,"it","ulez",1
"95",2020-03-22,"de","ulez",1
"96",2020-03-25,"de","insect",1
"97",2020-03-26,"de","ulez",2
"98",2020-04-03,"en","insect",1
"99",2020-04-04,"it","insect",1
"100",2020-04-05,"it","insect",1
"101",2020-04-06,"en","insect",3
"102",2020-04-10,"it","insect",1
"103",2020-04-11,"de","ulez",2
"104",2020-04-15,"de","ulez",2
"105",2020-04-15,"it","insect",1
"106",2020-04-25,"it","ulez",1
"107",2020-04-27,"de","insect",1
"108",2020-05-04,"de","ulez",1
"109",2020-05-07,"it","ulez",1
"110",2020-05-13,"de","ulez",1
"111",2020-05-13,"en","ulez",1
"112",2020-05-15,"en","ulez",1
"113",2020-05-17,"de","insect",2
"114",2020-05-17,"de","ulez",1
"115",2020-05-20,"en","ulez",1
"116",2020-05-21,"en","ulez",1
"117",2020-05-22,"it","insect",1
"118",2020-05-22,"it","ulez",1
"119",2020-05-24,"de","ulez",2
"120",2020-05-24,"en","ulez",1
"121",2020-05-25,"de","ulez",2
"122",2020-05-27,"de","insect",2
"123",2020-05-28,"de","ulez",1
"124",2020-06-01,"it","insect",3
"125",2020-06-13,"de","insect",1
"126",2020-06-13,"en","ulez",1
"127",2020-06-23,"de","ulez",1
"128",2020-06-26,"it","insect",1
"129",2020-06-27,"de","insect",1
"130",2020-06-27,"de","ulez",3
"131",2020-06-30,"de","insect",6
"132",2020-06-30,"fr","ulez",1
"133",2020-07-01,"de","insect",2
"134",2020-07-05,"de","insect",3
"135",2020-07-06,"de","insect",1
"136",2020-07-06,"de","ulez",1
"137",2020-07-07,"de","insect",1
"138",2020-07-08,"de","ulez",1
"139",2020-07-08,"en","insect",1
"140",2020-07-09,"en","ulez",1
"141",2020-07-11,"de","ulez",1
"142",2020-07-13,"it","ulez",1
"143",2020-07-14,"it","insect",1
"144",2020-07-15,"de","insect",3
"145",2020-07-24,"de","insect",1
"146",2020-07-24,"de","ulez",1
"147",2020-07-25,"de","insect",3
"148",2020-07-25,"de","ulez",1
"149",2020-07-26,"en","ulez",1
"150",2020-07-29,"de","ulez",1
"151",2020-07-29,"en","ulez",2
"152",2020-07-30,"de","ulez",1
"153",2020-08-04,"en","ulez",1
"154",2020-08-07,"de","insect",1
"155",2020-08-13,"de","insect",1
"156",2020-08-13,"en","ulez",1
"157",2020-08-15,"en","insect",1
"158",2020-08-15,"en","ulez",1
"159",2020-08-20,"it","insect",1
"160",2020-08-21,"it","ulez",1
"161",2020-08-22,"it","ulez",1
"162",2020-08-24,"de","ulez",1
"163",2020-08-25,"en","ulez",1
"164",2020-08-27,"en","ulez",2
"165",2020-08-27,"it","insect",1
"166",2020-08-31,"en","insect",1
"167",2020-09-02,"de","ulez",1
"168",2020-09-02,"en","insect",1
"169",2020-09-07,"de","insect",4
"170",2020-09-07,"en","insect",1
"171",2020-09-07,"it","insect",1
"172",2020-09-08,"de","ulez",1
"173",2020-09-10,"de","insect",1
"174",2020-09-10,"en","ulez",1
"175",2020-09-15,"en","insect",1
"176",2020-09-15,"en","ulez",1
"177",2020-09-15,"it","ulez",1
"178",2020-09-21,"en","insect",1
"179",2020-09-22,"de","insect",1
"180",2020-09-25,"en","climate_lockdown",1
"181",2020-09-26,"en","climate_lockdown",1
"182",2020-09-26,"it","climate_lockdown",1
"183",2020-09-26,"it","ulez",2
"184",2020-09-27,"en","insect",2
"185",2020-09-27,"fr","ulez",1
"186",2020-09-28,"de","ulez",1
"187",2020-09-28,"it","climate_lockdown",3
"188",2020-09-29,"it","climate_lockdown",1
"189",2020-09-30,"it","climate_lockdown",1
"190",2020-10-04,"it","insect",1
"191",2020-10-05,"en","ulez",1
"192",2020-10-05,"it","insect",1
"193",2020-10-07,"de","ulez",1
"194",2020-10-07,"en","ulez",1
"195",2020-10-08,"de","ulez",2
"196",2020-10-10,"en","insect",1
"197",2020-10-12,"en","ulez",1
"198",2020-10-13,"en","ulez",1
"199",2020-10-14,"de","ulez",1
"200",2020-10-19,"de","ulez",2
"201",2020-10-23,"de","ulez",3
"202",2020-10-24,"it","ulez",1
"203",2020-10-27,"en","ulez",1
"204",2020-10-27,"it","insect",1
"205",2020-10-28,"de","ulez",1
"206",2020-10-28,"en","ulez",1
"207",2020-10-30,"it","insect",2
"208",2020-10-31,"it","ulez",1
"209",2020-11-01,"en","insect",1
"210",2020-11-04,"de","ulez",1
"211",2020-11-09,"de","ulez",1
"212",2020-11-09,"en","insect",1
"213",2020-11-09,"it","insect",1
"214",2020-11-12,"en","insect",2
"215",2020-11-12,"it","ulez",1
"216",2020-11-14,"en","ulez",1
"217",2020-11-14,"fr","ulez",1
"218",2020-11-16,"en","climate_lockdown",1
"219",2020-11-19,"de","insect",1
"220",2020-11-20,"de","ulez",1
"221",2020-11-21,"de","ulez",2
"222",2020-11-21,"fr","insect",1
"223",2020-11-23,"de","ulez",1
"224",2020-11-26,"de","insect",1
"225",2020-11-28,"de","insect",4
"226",2020-11-29,"de","insect",4
"227",2020-11-30,"de","insect",1
"228",2020-12-01,"en","insect",1
"229",2020-12-02,"de","insect",1
"230",2020-12-04,"it","ulez",1
"231",2020-12-05,"it","ulez",2
"232",2020-12-08,"de","ulez",1
"233",2020-12-08,"fr","insect",3
"234",2020-12-08,"fr","ulez",1
"235",2020-12-09,"de","ulez",1
"236",2020-12-10,"de","insect",1
"237",2020-12-10,"de","ulez",1
"238",2020-12-10,"fr","insect",1
"239",2020-12-11,"de","ulez",3
"240",2020-12-13,"fr","insect",1
"241",2020-12-14,"en","ulez",1
"242",2020-12-14,"fr","insect",1
"243",2020-12-18,"de","ulez",1
"244",2020-12-21,"fr","ulez",1
"245",2020-12-23,"fr","ulez",4
"246",2020-12-25,"de","ulez",1
"247",2020-12-26,"de","ulez",1
"248",2020-12-27,"de","ulez",1
"249",2020-12-28,"de","climate_lockdown",2
"250",2020-12-29,"de","climate_lockdown",4
"251",2020-12-31,"de","climate_lockdown",2
"252",2021-01-01,"de","climate_lockdown",1
"253",2021-01-01,"en","insect",1
"254",2021-01-02,"de","climate_lockdown",2
"255",2021-01-02,"fr","ulez",1
"256",2021-01-03,"de","climate_lockdown",1
"257",2021-01-03,"de","insect",1
"258",2021-01-04,"de","climate_lockdown",21
"259",2021-01-04,"de","insect",1
