"","detected_language","forwarded_from","insect","ulez","climate_lockdown","fifteen_minutes","name","platform_id","category","platform","url","screenname","country","influencer","public","chat","notes","source","id1","raw_channel_info_id","channel","platform_id2","scraper","platform3","transformer","screenname4","name5","description","description_url","description_location","followers","following","verified","date_created","date_archived","date_transformed"
"1","de",65,3,NA,NA,NA,"JQHN SPARTAN",1181961026,"explicit_qanon","Telegram","https://t.me/jqhnspartan","jqhnspartan","[u'FR']","JQNH SPARTAN","true","false","","researcher",224749,224809,65,1181961026,"TelegramTelethonScraper 0.0.4","Telegram","TelegramTelethonTransformer 0.0.3","jqhnspartan","JQHN SPARTAN","[JQHN SPARTAN 117INTEL QFORCE]
""A Blast From The Past"" with Jqhn and his team of frogs 🐸🐸🐸 Put on your sunglasses ! 
HQ: https://t.me/jqhnspartan",NA,NA,2466,-1,"false","01/05/21 17:07","25/11/22 21:26","26/11/22 08:00"
"2","de",173,1,NA,NA,NA,"ChrisInfos:Traductions,Trump & co",1370778737,"explicit_qanon","Telegram","https://t.me/ChrisInfosTrumpAndCo","ChrisInfosTrumpAndCo","[u'FR']","Chris Infos","true","false","","researcher",215143,215203,173,1370778737,"TelegramTelethonScraper 0.0.4","Telegram","TelegramTelethonTransformer 0.0.3","ChrisInfosTrumpAndCo","ChrisInfos:Traductions,Trump & co","Traduction anglais/français des discours de Trump,actu politique et principales infos.

“Quand l’injustice devient loi,la Rébellion devient devoir”
Thomas Jefferson

Pour toute demande de traduction ou autre:
E-Mail:ChrisInfos@protonmail.com",NA,NA,9016,-1,"false","21/06/21 14:28","20/11/22 21:24","21/11/22 08:00"
"3","de",396,NA,1,NA,NA,"Klokkenluiders voor de vrijheid",1306353747,"corona/anti-vax","Telegram","https://t.me/klokkenluiders","klokkenluiders","[u'NL']","Klokkenluiders voor vrijheid","true","false","Channel wat vooral berichten stuurt over de corona maatregelen en vaccinaties. zijn ook actief bezig om een eigen app te ontwikkelen om de maatregelen te omzeilen","researcher",376181,370099,396,1306353747,"TelegramTelethonScraper 0.0.4","Telegram","TelegramTelethonTransformer 0.0.4","klokkenluiders","🌎Klokkenluiders🌎 voor 🔥 vrijheid 🔥","Vrijheid voor iedereen! Ook voor jou? 

Wij zijn ook te vinden op @klokkenluiders2 en  mewe: https://mewe.com/join/klokkenluiders",NA,NA,70851,-1,"false","12/11/21 10:18","28/05/23 21:24","01/06/23 08:03"
"4","de",443,10,NA,18,3,"Mäckle macht gute Laune",1204275498,"explicit_qanon","Telegram","https://t.me/s/macklemachtgutelaune","macklemachtgutelaune","[u'DE']","Friedemann Mack","true","false","","researcher",289757,289808,443,1204275498,"TelegramTelethonScraper 0.0.4","Telegram","TelegramTelethonTransformer 0.0.3","macklemachtgutelaune","Mäckle macht gute Laune","",NA,NA,125060,-1,"false","02/10/20 06:41","30/12/22 21:28","31/12/22 08:00"
"5","de",454,NA,NA,7,NA,"Frag uns doch WWG1WGA",1295549179,"explicit_qanon","Telegram","https://t.me/fragunsdoch_WWG1WGA","fragunsdochDasOriginal","[u'DE']","Fragunsdoch","true","false","","researcher",156165,156170,454,1295549179,"TelegramTelethonScraper 0.0.4","Telegram","TelegramTelethonTransformer 0.0.3","fragunsdochDasOriginal","Frag uns doch Das Original","Dieser Kanal dient der Aufklärung und dem Erwachen all jener, die es möchten. 
Wir geben den Blick über Weltpolitik, Weltwirtschaft, das Finanzsystem und die Entwicklung der Gesellschaft.",NA,NA,135072,-1,"false","01/09/20 21:16","18/10/22 21:31","19/10/22 08:00"
"6","de",459,100,NA,NA,NA,"Qlobal Change",1285160972,"explicit_qanon","Telegram","https://t.me/QlobalChange","QlobalChange","[u'DE']","","true","false","There are several subchannels in more languages","researcher",401985,402025,459,1285160972,"TelegramTelethonScraper 0.0.4","Telegram","TelegramTelethonTransformer 0.0.4","QlobalChange","Qlobal-Change 🇩🇪🇦🇹🇨🇭🇱🇮 🤝 🇳🇱","https://qalerts.app
📨 @QC_Kontakt_Bot
2️⃣ @Qlobal_Change
🇺🇸 @QlobalChangeUSA
🇮🇹 @QlobalChangeItalia
🇪🇸 @QlobalChangeEspana
🇵🇹 @QlobalChangePortugal
🇫🇷 @QlobalChangeFrance
🇳🇱 @QlobalChangeNL
🎦 @X22_Report_Deutsch
▶️ https://odysee.com/@Qlobal-Change:6",NA,NA,115544,-1,"false","10/11/18 23:42","08/06/23 21:26","09/06/23 08:00"
"7","de",466,8,1,2,NA,"DokuKanal",1288437530,"explicit_qanon","Telegram","https://t.me/dokuq","dokuq","[u'DE']","","true","false","did not visit channel yet (found link on QNet website)","researcher",306340,306391,466,1288437530,"TelegramTelethonScraper 0.0.4","Telegram","TelegramTelethonTransformer 0.0.3","dokuq","DOKU-KANAL 🧊","Finde hier spannende Dokumentationen, Filme und Serien. - Eine Objektive Betrachtung ist sehr wichtig und unbedingt nötig. [Sie] haben uns mittels Film und Musik sensibilisiert, doch meist steckt hier Wahrheit drin!

Empfehlungen an: dokukanal@mail.ru",NA,NA,16945,-1,"false","14/10/20 18:23","15/01/23 21:22","19/01/23 15:22"
"8","de",474,NA,4,NA,NA,"Q-Beweise (Q-proofs)",1317687194,"explicit_qanon","Telegram","https://t.me/s/q_proofs","q_proofs","[u'DE']","","true","false","","researcher",55701,55706,474,1317687194,"TelegramTelethonScraper 0.0.3","Telegram","TelegramTelethonTransformer 0.0.3","q_proofs","Q-Beweise (Q-proofs)🐸","Bitte verbreitet den Link des Kanals um noch mehr Menschen aufzuwecken: 

t.me/q_proofs

http://qposts.in

https://qanon.pub

https://qposts.online/",NA,NA,8847,-1,"false","13/03/20 13:50","22/07/22 01:32","22/07/22 02:15"
"9","de",475,23,4,NA,1,"We are FREE - News Deutsch",1217716282,"explicit_qanon","Telegram","https://t.me/s/WE_R_FREE","WE_R_FREE","[u'DE']","","true","false","","researcher",223048,223108,475,1217716282,"TelegramTelethonScraper 0.0.4","Telegram","TelegramTelethonTransformer 0.0.3","WE_R_FREE","We are FREE - News 🇩🇪","WE ARE FREE
WE ARE HUMAN
WE ARE Q
#THEGREATAWAKENING 
#WWG1WGA",NA,NA,23438,-1,"false","05/05/19 09:16","24/11/22 21:28","25/11/22 08:00"
"10","de",482,NA,NA,1,NA,"INTO THE LIGHT",1364738787,"explicit_qanon","Telegram","https://t.me/s/Into_the_Light_News","INTO_THE_LIGHT_NEWS","[u'DE']","INTO THE LIGHT","true","false","","researcher",13943,17172,482,1364738787,"TelegramTelethonScraper 0.0.2","Telegram","TelegramTelethonTransformer 0.0.2","INTO_THE_LIGHT_NEWS","INTO THE LIGHT 💫 🦅🇩🇪🇦🇹🇨🇭🌏🕊","Der Kanal für die neue Zeit! 💫

Fragen: @intoTheLight_bot 🤖",NA,NA,27948,-1,"false","27/03/20 10:23","14/05/22 01:41","08/06/22 08:14"
"11","de",485,2,3,NA,NA,"fuf media - freiheit denken",1337894333,"explicit_qanon","Telegram","https://t.me/s/fufmedia","fufmedia","[u'DE']","","true","false","The channel says ""Inklusive aufbereitete News der Anons aus den USA plus weitere interessante Infos aus diversen Social Media Plattformen
"" It's difficult to put it in the right category, it could also be a qanon_content channel","researcher",304878,304929,485,1337894333,"TelegramTelethonScraper 0.0.4","Telegram","TelegramTelethonTransformer 0.0.3","fufmedia","fuf media - Freiheit denken","Aktuelles zum Zeitgeschehen - offen, ehrlich und geradeheraus

Die Relevanz spiritueller Themen zur Inspiration,  zur Bewusstwerdung und zum Wachstum findet hier ebenso Berücksichtigung 

Kontakt: @fraenQi",NA,NA,107772,-1,"false","05/07/20 17:03","14/01/23 21:29","19/01/23 15:22"
"12","de",486,6,NA,1,NA,"ThanQ Q 2Q22",1493572821,"explicit_qanon","Telegram","https://t.me/s/Qparadise","Qparadise","[u'DE']","","true","false","","researcher",148508,148513,486,1493572821,"TelegramTelethonScraper 0.0.4","Telegram","TelegramTelethonTransformer 0.0.3","Qparadise","ThanQ Q 2Q22 🍊","Only the truth counts 

Nur die Wahrheit zählt",NA,NA,41384,-1,"false","25/03/20 20:21","14/10/22 21:33","15/10/22 08:00"
"13","de",487,4,NA,6,NA,"Videodump",1246014340,"qanon_content","Telegram","https://t.me/videodump1","videodump1","[u'DE']","","true","false","Shares occasionally QAnon content, we should monitor whether this channel is relevant enough to keep it in the database in the long run.","researcher",404898,404938,487,1246014340,"TelegramTelethonScraper 0.0.4","Telegram","TelegramTelethonTransformer 0.0.4","videodump1","Videodump","Politisches und Lustiges",NA,NA,13008,-1,"false","20/10/19 19:37","09/06/23 21:25","10/06/23 08:00"
"14","de",488,7,7,20,1,"Vereinigte Wahrheitsbewegung",1329549573,"qanon_content","Telegram","https://t.me/s/vereinigteWahrheitsbewegung","vereinigteWahrheitsbewegung","[u'DE']","","true","false","Shares occasionally QAnon content, we should monitor whether this channel is relevant enough to keep it in the database in the long run.","researcher",1516,1890,488,1329549573,"TelegramTelethonScraper 0.0.2","Telegram","TelegramTelethonTransformer 0.0.2","vereinigteWahrheitsbewegung","Vereinigte Wahrheitsbewegung","Telegramm: https://t.me/vereinigteWahrheitsbewegung *
Umzug: https://lbry.tv/@Wahrheitsbewegung:b
Unser YouTube Kanal: https://www.youtube.com/channel/UCSk9Y_nwoRtJHI1MLIW8fvQ Telegramm: @ScharfschuetzenBewegung1",NA,NA,16317,-1,"false","16/11/19 04:20","16/04/22 01:05","08/06/22 08:14"
"15","de",490,168,6,30,7,"RABBIT RESEARCH",1411594255,"qanon_content","Telegram","https://t.me/s/rabbitresearch","rabbitresearch","[u'DE']","Rabbit Research","true","false","Has a paypal in the bio (https://www.paypal.me/rabbitresearch), It is difficult to put the channel in a category. Shares occasionally direct QAnon content but refers often to QAnon topics (Disney etc) without directly referring to QAnon. ","researcher",242130,242190,490,1411594255,"TelegramTelethonScraper 0.0.4","Telegram","TelegramTelethonTransformer 0.0.3","rabbitresearch","RABBIT RESEARCH","- brisante Themen in eigene Dokus gepackt PLUS Content der dazupasst
 - helft RABBIT RESEARCH die Wahrheit weiterzuverbreiten und unterstützt die
    Recherchen mit einer kleinen Spende - DANKE 🙏 
    Paypal:
    https://www.paypal.me/rabbitresearch",NA,NA,87055,-1,"false","02/07/20 15:35","04/12/22 21:29","05/12/22 08:00"
"16","de",491,12,5,2,10,"Fakten Frieden Freiheit",1196000400,"conspiracy","Telegram","https://t.me/FaktenFriedenFreiheit","FaktenFriedenFreiheit","[u'DE']","","true","false","Shares occasionally QAnon content, we should monitor whether this channel is conspiracy or qanon_content","researcher",98485,98490,491,1196000400,"TelegramTelethonScraper 0.0.4","Telegram","TelegramTelethonTransformer 0.0.3","FaktenFriedenFreiheit","Fakten Frieden #FreeJanich","Wenn du meine Arbeit unterstützen und Kontakt zu mir haben möchtest, dann komm gerne in die Insider Gruppe ANONYME ALUHÜTE @AnonymeAluhueteBot DANKE",NA,NA,109248,-1,"false","04/04/18 07:13","18/09/22 21:29","20/09/22 08:00"
