"","month","total_count","covid_count","climate_count","ukraine_count"
"1",2020-01-01,102069,1969,1423,559
"2",2020-02-01,131906,8501,913,472
"3",2020-03-01,211916,34402,616,267
"4",2020-04-01,290513,32871,387,337
"5",2020-05-01,335958,25785,530,478
"6",2020-06-01,382928,17667,492,378
"7",2020-07-01,445128,22915,703,531
"8",2020-08-01,589481,30728,897,588
"9",2020-09-01,605052,32930,1757,1008
"10",2020-10-01,788438,49168,1225,1596
"11",2020-11-01,1043929,50513,1579,753
"12",2020-12-01,1068142,64725,1700,768
"13",2021-01-01,2296813,83467,3500,2221
"14",2021-02-01,2431485,97091,5541,937
"15",2021-03-01,2769909,131172,4361,2584
"16",2021-04-01,2938842,139748,6948,10247
"17",2021-05-01,3046590,151831,7754,2414
"18",2021-06-01,2847940,144000,8023,2362
"19",2021-07-01,3622910,179783,14343,2207
"20",2021-08-01,4163189,218193,9470,1526
"21",2021-09-01,4200237,216802,10946,1837
"22",2021-10-01,4569953,206519,15135,3109
"23",2021-11-01,4781236,248850,15544,5639
"24",2021-12-01,4808650,281396,7630,10186
"25",2022-01-01,5546580,294254,10478,28846
"26",2022-02-01,5382654,236138,12613,157645
"27",2022-03-01,5457401,161722,12819,331995
"28",2022-04-01,5357946,157363,12852,167025
"29",2022-05-01,5000639,134861,14403,138485
"30",2022-06-01,4467005,138131,18621,98048
"31",2022-07-01,4940208,130208,30492,76371
"32",2022-08-01,4843981,120993,26767,70712
"33",2022-09-01,5201486,107828,25310,93882
"34",2022-10-01,5839075,122915,23604,126722
"35",2022-11-01,5875218,112971,32294,82275
"36",2022-12-01,5043607,108806,25103,63464
"37",2023-01-01,5611690,112280,30149,99358
"38",2023-02-01,5966506,84386,22756,113144
"39",2023-03-01,7728214,106882,32990,100599
"40",2023-04-01,7091879,84502,38121,91900
"41",2023-05-01,7110684,89743,46934,108254
"42",2023-06-01,2641475,37833,17427,41154
