"","X","type","month","detected_language","n","percentage"
"1",44,"Amazon",2020-01-01,"German",114,59.6858638743455
"2",45,"Amazon",2020-01-01,"English",10,5.23560209424084
"3",46,"Amazon",2020-01-01,"Italian",1,0.523560209424084
"4",49,"Amazon",2020-02-01,"German",177,68.3397683397683
"5",50,"Amazon",2020-02-01,"English",5,1.93050193050193
"6",52,"Amazon",2020-03-01,"German",114,55.8823529411765
"7",53,"Amazon",2020-03-01,"English",1,0.490196078431373
"8",54,"Amazon",2020-03-01,"Italian",4,1.96078431372549
"9",56,"Amazon",2020-04-01,"German",49,33.3333333333333
"10",57,"Amazon",2020-04-01,"English",10,6.80272108843537
"11",58,"Amazon",2020-04-01,"Italian",1,0.680272108843537
"12",61,"Amazon",2020-05-01,"German",80,38.8349514563107
"13",62,"Amazon",2020-05-01,"English",6,2.9126213592233
"14",63,"Amazon",2020-05-01,"Dutch",1,0.485436893203883
"15",65,"Amazon",2020-06-01,"German",66,11.6814159292035
"16",66,"Amazon",2020-06-01,"English",4,0.707964601769911
"17",68,"Amazon",2020-06-01,"Italian",1,0.176991150442478
"18",71,"Amazon",2020-07-01,"German",76,7.78688524590164
"19",72,"Amazon",2020-07-01,"English",13,1.33196721311475
"20",73,"Amazon",2020-07-01,"French",2,0.204918032786885
"21",74,"Amazon",2020-07-01,"Italian",2,0.204918032786885
"22",78,"Amazon",2020-08-01,"German",54,6.90537084398977
"23",79,"Amazon",2020-08-01,"English",10,1.27877237851662
"24",80,"Amazon",2020-08-01,"Italian",3,0.383631713554987
"25",85,"Amazon",2020-09-01,"German",26,2.65577119509704
"26",86,"Amazon",2020-09-01,"English",20,2.04290091930541
"27",88,"Amazon",2020-09-01,"Italian",10,1.02145045965271
"28",90,"Amazon",2020-10-01,"German",62,3.54894104178592
"29",91,"Amazon",2020-10-01,"English",12,0.68689181453921
"30",93,"Amazon",2020-10-01,"French",3,0.171722953634803
"31",94,"Amazon",2020-10-01,"Italian",3,0.171722953634803
"32",98,"Amazon",2020-11-01,"German",60,2.76115968706857
"33",99,"Amazon",2020-11-01,"English",12,0.552231937413714
"34",100,"Amazon",2020-11-01,"French",1,0.0460193281178095
"35",101,"Amazon",2020-11-01,"Italian",4,0.184077312471238
"36",102,"Amazon",2020-11-01,"Dutch",2,0.092038656235619
"37",105,"Amazon",2020-12-01,"German",95,4.80040424456796
"38",106,"Amazon",2020-12-01,"English",22,1.11167256189995
"39",108,"Amazon",2020-12-01,"French",1,0.0505305709954523
"40",109,"Amazon",2020-12-01,"Italian",1,0.0505305709954523
"41",113,"Amazon",2021-01-01,"German",97,3.50180505415162
"42",114,"Amazon",2021-01-01,"English",43,1.55234657039711
"43",116,"Amazon",2021-01-01,"French",2,0.072202166064982
"44",117,"Amazon",2021-01-01,"Italian",9,0.324909747292419
"45",118,"Amazon",2021-01-01,"Dutch",2,0.072202166064982
"46",122,"Amazon",2021-02-01,"German",75,2.71542360608255
"47",123,"Amazon",2021-02-01,"English",39,1.41202027516293
"48",125,"Amazon",2021-02-01,"French",2,0.0724112961622013
"49",126,"Amazon",2021-02-01,"Italian",7,0.253439536567705
"50",127,"Amazon",2021-02-01,"Dutch",1,0.0362056480811006
"51",132,"Amazon",2021-03-01,"German",81,2.30572160546541
"52",133,"Amazon",2021-03-01,"English",62,1.76487332764019
"53",135,"Amazon",2021-03-01,"French",5,0.142328494164532
"54",136,"Amazon",2021-03-01,"Italian",7,0.199259891830344
